smiles,smilesid,docking_score
Cc1cc(O)cc(C)c1CC(=O)N(C)CCN(C)C(=O)c1cccc2cncn12,S174,-8.23119
CC1(C)CC(C(=O)N[C@]23CCC[C@H]2CN(C(=O)CC2CC(C(F)F)C2)C3)C1,S177,-8.08752
CC(C)OC(=O)CN(C)C(=O)c1ncc(N)cc1Cl,S184,-6.76984
CCCc1nc(C)c(CN(C)C(=O)C(C)c2c(C)noc2C)s1,S181,-7.03762
CC1CC2CC(C(=O)NCc3ccccc3S(=O)(=O)NC(C)(C)C)(C2)O1,S182,-6.30229
COC(=O)C1(NCc2c(C)noc2C2CC2)CC(CC(C)(C)C)C1,S183,-7.36743
COC(COc1ccccc1)C(=O)NC1CC2CCCC(C1)N2C(=O)C(C)(C)C,S179,-7.76047
O=C(O)c1cccc(CCNC(=O)c2nnn(-c3ccc(F)cc3)c2C(F)(F)F)c1,S180,-9.95489
COC(=O)c1cc(F)ccc1S(=O)(=O)N[C@@H]1CC[C@H]1CN,S187,-6.78914
Cc1cc(F)cc(C(C)C(=O)NC2CCN(C(=O)Cn3cncn3)C23CC3)c1,S175,-9.15408
CC(OC(=O)Cc1cc(Cl)n(C)n1)c1nc2ncc(Br)cc2[nH]1,S190,-8.11211
O=S1(=O)NC[C@H]2CN(Cc3coc(-c4ccc(C(F)(F)F)cc4)n3)C[C@H]21,S185,-10.253
CCC(CC(C)C)C(=O)N[C@@H]1CN(C(=O)[C@@H]2C[C@@H]3C[C@H](O)C[C@@H](C3)C2)C[C@@H]1F,S186,-8.9574
CC(NC(=O)CNC(=O)CN1CC(F)(F)CC1CCO)c1ccc(F)cc1,S189,-8.97958
C[C@@H](CS(N)(=O)=O)NC(=O)c1cc(Br)cc2c1OCO2,S191,-7.50286
O=C(NCc1nocc1-c1ccc(Cl)cc1)c1cnsc1,S195,-5.99045
Cc1cc(=O)n(C)cc1C(=O)N1CC(O)(CCNC(=O)C(C)c2ccco2)C1,S194,-8.87512
Cn1c(NC(=O)c2cnc(C3(N)CCC3)nc2)nc2cccc(F)c21,S192,-9.72098
OCc1cc(CN2CCN(c3nc4ccccc4s3)CC2)no1,S196,-9.41705
Cc1nn(C2CC2)cc1C(=O)N1CC(NC(=O)c2cc(Cl)ccn2)C(C)(C)C1,S193,-7.27297
Cn1cc(C(C)(C)NC(=O)[C@H]2C[C@H]3C[C@@H]2CO3)cn1,S197,-6.47602
CC(C)(C)OC(=O)C(O)CNC(=O)Nc1ccc(C(F)(F)F)s1,S200,-8.46462
Cc1cc(N(C)C)nc(NC(=O)N2CC(Oc3ccccn3)C2)n1,S198,-7.96323
CC(C)(C)C(O)CN(C(=O)NC1CCC2(CCC1(F)F)OCCO2)C1CC1,S188,-8.22657
CCOC(C)(C)C(Sc1nnc(CCc2ccccc2)o1)C(=O)OC,S199,-7.36852
O=C(CO)NC[C@H]1C[C@@H]2CN(C(=O)[C@@H]3CCCN3C(=O)c3ccccn3)C[C@H]12,S203,-9.67941
Cc1nc(C2CCOCC2)ncc1C(=O)NC[C@H]1C[C@@H](c2ccccc2)CO1,S202,-9.29442
CS(=O)(=O)[C@@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1ccc(F)cc1C(F)(F)F,S201,-7.21568
CCc1n[nH]c(Cl)c1C(=O)N(C)CC(C)(C)NC(=O)C(C#N)C(C)(C)C,S207,-6.77545
O=C(C1CCN(C2COC2)C1)N1CCN(C(=O)c2ccc(=O)[nH]n2)C(CF)C1,S204,-9.95246
CN(C)C[C@@H]1CCN1C(=O)c1ccccc1-c1cnn(C)c1,S208,-6.28979
CCOC(CNC(C)C(=O)Nc1cc(F)ccc1F)C(F)(F)F,S210,-8.17631
CC(C)Oc1n[nH]cc1C(=O)NCC1CCN1C(=O)c1cccc2c1OCCN2,S205,-8.52793
CC1CN(C(=O)c2ccc(C3CC3)cn2)CC(C)C1NC(=O)c1nccnc1O,S206,-8.54478
Cc1c(F)cccc1CNc1cnsn1,S218,-6.73654
CC1=C(C(=O)N[C@]23CC[C@H](C[C@@H]2NC(=O)Cc2sccc2C)C3)CCC1,S209,-6.63966
CCN(CCC1(C#N)CC1)CC(=O)Nc1c(C)cccc1C,S217,-8.21677
CC(C)(F)CCC(=O)N1CCN(C(=O)c2ncccc2C(F)F)CC1C1CC1,S211,-9.26805
NCC(CO)CNc1nc2c(F)cccc2o1,S220,-7.04899
N#CCOc1ccccc1C(=O)N1CC[C@@H](NC(=O)C(F)(F)CF)[C@H](O)C1,S212,-8.05114
Cc1nc(CN2CCN(CC3(C)CCCCO3)CC2)cs1,S222,-7.95028
CC(C)OCC(=O)N1C[C@H]2CN(C(=O)C(C)n3cc4c(n3)CCCC4)C[C@@]2(C)C1,S213,-8.66732
O=C(N[C@H]1C[C@H](NC(=O)C2CCCSC2)C[C@@H]1O)c1ccc2[nH]nnc2c1,S216,-8.99946
O=C(Nc1cccc2[nH]nnc12)c1cc(C(F)(F)F)cnc1N1CCOCC1,S215,-7.0151
CO[C@]1(C(F)(F)F)C[C@H](CNC(=O)C23CC(C(=O)O)(C2)C3(F)F)C1,S214,-7.3867
COc1ccc(C(=O)NCCC2(O)CN(C(=O)C3CCCCC3F)C2)c(C)n1,S219,-8.59659
